trials,stimulus,number_responses,avg_words_per_response,percent_unique_words,percent_unique_lemmas,simpson_diversity,modal_agreement,modal_names,modal_response_agreement,modal_response
all_trials,imgNew/23T_glass.jpg,292,1.0787671232876712,0.16825396825396827,0.1619047619047619,0.5439288241836012,0.791095890410959,glass,0.6541095890410958,glass
all_trials,imgNew/24T_cow.jpg,285,1.1543859649122807,0.3738601823708207,0.3525835866261398,0.09807991696938247,0.3473684210526316,cow,0.312280701754386,cow
all_trials,imgNew/25T_save.jpg,286,1.1433566433566433,0.26605504587155965,0.24770642201834864,0.22472373876662727,0.527972027972028,save,0.40559440559440557,save
all_trials,imgNew/26T_camp.jpg,294,1.030612244897959,0.06930693069306931,0.0627062706270627,0.800209822306734,0.9217687074829932,camp,0.6972789115646258,camping
all_trials,imgNew/27T_potato.jpg,292,1.0616438356164384,0.13870967741935483,0.12903225806451613,0.6057208476876501,0.8253424657534246,potato,0.5171232876712328,potato
all_trials,imgNew/28T_soft.jpg,294,1.0272108843537415,0.11589403973509933,0.11589403973509933,0.6093815317594773,0.7993197278911565,soft,0.7925170068027211,soft
all_trials,imgNew/29T_dance.jpg,586,1.1450511945392492,0.10730253353204174,0.09538002980625931,0.44955401828413816,0.7508532423208191,dance,0.4709897610921502,dance
all_trials,imgNew/2T_bath.jpg,584,1.1832191780821917,0.09261939218523878,0.0824891461649783,0.445277795255773,0.7842465753424658,bath,0.7311643835616438,bath
all_trials,imgNew/30T_luck.jpg,290,1.0482758620689656,0.1118421052631579,0.1118421052631579,0.3883750217126976,0.5517241379310345,luck,0.5344827586206896,luck
all_trials,imgNew/31T_turn.jpg,294,1.054421768707483,0.11612903225806452,0.1032258064516129,0.35183213279047915,0.5986394557823129,turn,0.4965986394557823,turn
all_trials,imgNew/32T_ocean.jpg,298,1.070469798657718,0.2445141065830721,0.23510971786833856,0.11210346799156168,0.2483221476510067,ocean,0.24496644295302014,ocean
all_trials,imgNew/33T_rare.jpg,296,1.0506756756756757,0.31189710610932475,0.3086816720257235,0.2478166165335546,0.5202702702702703,rare,0.5101351351351351,rare
all_trials,imgNew/35T_fight.jpg,285,1.0947368421052632,0.3301282051282051,0.2980769230769231,0.12834941050375134,0.37543859649122807,fight,0.32280701754385965,fight
all_trials,imgNew/36T_jump.jpg,291,1.0584192439862543,0.262987012987013,0.24025974025974026,0.14304750623968865,0.3402061855670103,hop,0.2611683848797251,hop
all_trials,imgNew/37T_right.jpg,288,1.1215277777777777,0.2476780185758514,0.22291021671826625,0.15439493875353344,0.3090277777777778,right,0.2916666666666667,stop
all_trials,imgNew/39T_find.jpg,291,1.092783505154639,0.2830188679245283,0.25157232704402516,0.1300319425431026,0.30584192439862545,find,0.24054982817869416,find
all_trials,imgNew/3T_justice.jpg,294,1.0238095238095237,0.14285714285714285,0.13953488372093023,0.18420819490586932,0.35034013605442177,justice,0.3469387755102041,justice
all_trials,imgNew/40T_neck.jpg,293,1.0409556313993173,0.15737704918032788,0.14754098360655737,0.35403364969801554,0.5870307167235495,neck,0.5597269624573379,neck
all_trials,imgNew/41T_large.jpg,293,1.0341296928327646,0.24422442244224424,0.23432343234323433,0.06677157782003366,0.15699658703071673,large,0.15699658703071673,large
